Card ID,Card Name,Expansion,Collection No.,Stage (Pokémon)/Type (Energy and Trainer),Rule,Category,Previous stage,HP,Type,Weakness,Resistance (Type),Retreat,Move Name,Cost,Damage,Effect Explanation
879,Hop's Trevenant,ASC,96,Stage 1 Pokémon,n/a,Trainer's Pokémon（Hop）,Hop's Phantump,140,{P},{D},{F},2,Corner,{P}●●,90,"During your opponent’s next turn, the Defending Pokémon can’t retreat."
880,Spectrier,ASC,98,Basic Pokémon,n/a,n/a,n/a,120,{P},{D},{F},1,Spooky Shot,{P},30,n/a
880,Spectrier,ASC,98,Basic Pokémon,n/a,n/a,n/a,120,{P},{D},{F},1,Phantasmal Barrage,{P}{P}●,n/a,Discard all Energy from this Pokémon and place 12 damage counters on 1 of your opponent’s Pokémon.
881,Team Rocket's Diglett,ASC,100,Basic Pokémon,n/a,Trainer's Pokémon（Team Rocket）,n/a,60,{F},{G},n/a,1,Relentless Burrowing,{F},n/a,"Flip a coin until you get tails. For each heads, discard the top card of your opponent’s deck."
882,Team Rocket's Dugtrio,ASC,101,Stage 1 Pokémon,n/a,Trainer's Pokémon（Team Rocket）,Team Rocket's Diglett,100,{F},{G},n/a,1,[Ability] Holes,n/a,n/a,"Whenever your opponent’s Active Pokémon moves to the Bench during their turn, place 2 damage counters on that Pokémon."
882,Team Rocket's Dugtrio,ASC,101,Stage 1 Pokémon,n/a,Trainer's Pokémon（Team Rocket）,Team Rocket's Diglett,100,{F},{G},n/a,1,Mud Shot,{F}●,50,n/a
883,Meditite,ASC,103,Basic Pokémon,n/a,n/a,n/a,70,{F},{P},n/a,1,Collect,●,n/a,Draw a card.
883,Meditite,ASC,103,Basic Pokémon,n/a,n/a,n/a,70,{F},{P},n/a,1,Gentle Slap,{F},10,n/a
884,Medicham,ASC,104,Stage 1 Pokémon,n/a,n/a,Meditite,120,{F},{P},n/a,1,Seventh Kick,{F},150,"If you don’t have exactly 7 cards in your hand, this attack does nothing."
885,Pancham,ASC,115,Basic Pokémon,n/a,n/a,n/a,70,{F},{P},n/a,2,Reckless Charge,●,20,This Pokémon also does 10 damage to itself.
886,Mega Hawlucha ex,ASC,116,Basic Pokémon,Mega Pokémon ex,n/a,n/a,250,{F},{P},n/a,1,[Ability] Tenacious Body,n/a,n/a,"If this Pokémon would be Knocked Out by damage from an attack, flip a coin. If heads, this Pokémon is not Knocked Out, and its remaining HP becomes 10."
886,Mega Hawlucha ex,ASC,116,Basic Pokémon,Mega Pokémon ex,n/a,n/a,250,{F},{P},n/a,1,Somersault Dive,{F}{F}●,120,"If a Stadium is in play, this attack does 140 more damage. Then, discard that Stadium."
887,Rolycoly,ASC,118,Basic Pokémon,n/a,n/a,n/a,80,{F},{G},n/a,3,Mud-Slap,{F},20,n/a
888,Carkol,ASC,119,Stage 1 Pokémon,n/a,n/a,Rolycoly,110,{F},{G},n/a,3,Guard Press,{F},20,"During your opponent’s next turn, this Pokémon takes 20 less damage from attacks (after applying Weakness and Resistance)."
888,Carkol,ASC,119,Stage 1 Pokémon,n/a,n/a,Rolycoly,110,{F},{G},n/a,3,Power Gem,{F}●●,60,n/a
889,Coalossal,ASC,120,Stage 2 Pokémon,n/a,n/a,Carkol,180,{F},{G},n/a,4,Tar Cannon,{F},n/a,"This attack does 140 damage to 1 of your opponent’s Pokémon. If you don’t have 10 or more Basic {F} Energy cards in your discard pile, this attack does nothing. (Don’t apply Weakness and Resistance for Benched Pokémon.)"
889,Coalossal,ASC,120,Stage 2 Pokémon,n/a,n/a,Carkol,180,{F},{G},n/a,4,Bulky Bump,{F}●●●,220,Discard 3 Energy from this Pokémon.
890,Okidogi,ASC,122,Basic Pokémon,n/a,n/a,n/a,140,{F},{P},n/a,3,Light Punch,{F},20,n/a
890,Okidogi,ASC,122,Basic Pokémon,n/a,n/a,n/a,140,{F},{P},n/a,3,Settle the Score,{F}{F}●,80,This attack does 60 more damage for each Prize card your opponent took during their last turn.
891,Team Rocket's Honchkrow,ASC,127,Stage 1 Pokémon,n/a,Trainer's Pokémon（Team Rocket）,Team Rocket's Murkrow,130,{D},{L},{F},1,Rocket Feathers,●●,60×,"You may discard any number of Supporter cards that have “Team Rocket” in their name from your hand, and this attack does 60 damage for each card you discarded in this way."
891,Team Rocket's Honchkrow,ASC,127,Stage 1 Pokémon,n/a,Trainer's Pokémon（Team Rocket）,Team Rocket's Murkrow,130,{D},{L},{F},1,Hammer In,{D}●●,100,n/a
892,Galarian Zigzagoon,ASC,130,Basic Pokémon,n/a,n/a,n/a,70,{D},{G},n/a,1,Gnaw,{D},10,n/a
893,Galarian Linoone,ASC,131,Stage 1 Pokémon,n/a,n/a,Galarian Zigzagoon,90,{D},{G},n/a,2,Gnaw,{D},20,n/a
893,Galarian Linoone,ASC,131,Stage 1 Pokémon,n/a,n/a,Galarian Zigzagoon,90,{D},{G},n/a,2,Claw Slash,{D}●,50,n/a
894,Galarian Obstagoon,ASC,132,Stage 2 Pokémon,n/a,n/a,Galarian Linoone,170,{D},{G},n/a,2,Scarring Shout,{D}●,70×,This attack does 70 damage for each damage counter on your opponent’s Active Pokémon.
894,Galarian Obstagoon,ASC,132,Stage 2 Pokémon,n/a,n/a,Galarian Linoone,170,{D},{G},n/a,2,Punk Smash,{D}●●,160,Discard an Energy from this Pokémon.
895,Scraggy,ASC,134,Basic Pokémon,n/a,n/a,n/a,80,{D},{G},n/a,2,Knock Off,{D}●,20,Discard a random card from your opponent’s hand.
896,Mega Scrafty ex,ASC,135,Stage 1 Pokémon,Mega Pokémon ex,n/a,Scraggy,330,{D},{G},n/a,2,[Ability] Counterattacking Crest,n/a,n/a,"If this Pokémon is in the Active Spot and is damaged by an attack from your opponent’s Pokémon (even if this Pokémon is Knocked Out), place 5 damage counters on the Attacking Pokémon."
896,Mega Scrafty ex,ASC,135,Stage 1 Pokémon,Mega Pokémon ex,n/a,Scraggy,330,{D},{G},n/a,2,Outlaw Leg,{D}{D}●,160,Discard a random card from your opponent’s hand. Discard the top card of your opponent’s deck.
897,Pangoro,ASC,140,Stage 1 Pokémon,n/a,n/a,Pancham,140,{D},{G},n/a,3,Corkscrew Punch,{D},40,n/a
897,Pangoro,ASC,140,Stage 1 Pokémon,n/a,n/a,Pancham,140,{D},{G},n/a,3,Master’s Punch,{D}{D}●,80,"If any of your Benched Pancham have any damage counters on them, this attack does 120 more damage."
898,Pecharunt,ASC,143,Basic Pokémon,n/a,n/a,n/a,80,{D},{F},n/a,1,[Ability] Final Chain,n/a,n/a,"If this Pokémon is Knocked Out by damage from an attack from your opponent’s Pokémon, search your deck for a card and put it into your hand. Then, shuffle your deck.
"
898,Pecharunt,ASC,143,Basic Pokémon,n/a,n/a,n/a,80,{D},{F},n/a,1,Mochi Rush,{D},20,"During your next turn, this Pokémon’s Mochi Rush attack does 50 more damage (before applying Weakness and Resistance)."
899,Pawniard,ASC,146,Basic Pokémon,n/a,n/a,n/a,70,{M},{R},{G},1,Push Down,{M},10,Switch out your opponent’s Active Pokémon to the Bench. (Your opponent chooses the new Active Pokémon.)
900,Bisharp,ASC,147,Stage 1 Pokémon,n/a,n/a,Pawniard,120,{M},{R},{G},1,Rapid Draw,{M},50,Draw 2 cards.
901,Kingambit,ASC,148,Stage 2 Pokémon,n/a,n/a,Bisharp,170,{M},{R},{G},3,[Ability] Supreme Overlord,n/a,n/a,Attacks used by this Pokémon do 30 more damage to your opponent’s Active Pokémon for each Prize card your opponent has taken (before applying Weakness and Resistance).
901,Kingambit,ASC,148,Stage 2 Pokémon,n/a,n/a,Bisharp,170,{M},{R},{G},3,Double-Edged Slash,{M}{M},180,This Pokémon also does 50 damage to itself.
902,Dratini,ASC,150,Basic Pokémon,n/a,n/a,n/a,80,竜,n/a,n/a,2,Headbutt,{W}{L},30,n/a
903,Dragonair,ASC,151,Stage 1 Pokémon,n/a,n/a,Dratini,100,竜,n/a,n/a,2,[Ability] Evolutionary Guidance,n/a,n/a,"Once during your turn, if this Pokémon has any Energy attached, you may use this Ability. Search your deck for an Evolution Pokémon, reveal it, and put it into your hand. Then, shuffle your deck."
903,Dragonair,ASC,151,Stage 1 Pokémon,n/a,n/a,Dratini,100,竜,n/a,n/a,2,Tail Snap,{W}{L},60,n/a
904,Mega Dragonite ex,ASC,152,Stage 2 Pokémon,Mega Pokémon ex,n/a,Dragonair,370,竜,n/a,n/a,2,[Ability] Sky Transport,n/a,n/a,"Once during your turn, you may use this Ability. Switch your Active Pokémon with 1 of your Benched Pokémon."
904,Mega Dragonite ex,ASC,152,Stage 2 Pokémon,Mega Pokémon ex,n/a,Dragonair,370,竜,n/a,n/a,2,Ryuno Glide,{W}{L}{L},330,Discard 2 Energy from this Pokémon.
905,Rayquaza,ASC,153,Basic Pokémon,n/a,n/a,n/a,120,竜,n/a,n/a,1,Breakthrough Assault,{L}●,20,"If this Pokémon moved from your Bench to the Active Spot this turn, this attack does 90 more damage."
905,Rayquaza,ASC,153,Basic Pokémon,n/a,n/a,n/a,120,竜,n/a,n/a,1,Dragon Claw,{R}{L}●,130,n/a
906,N's Zekrom,ASC,155,Basic Pokémon,n/a,Trainer's Pokémon（N）,n/a,130,竜,n/a,n/a,2,Shred,●●●,70,This attack’s damage isn’t affected by any effects on your opponent’s Active Pokémon.
906,N's Zekrom,ASC,155,Basic Pokémon,n/a,Trainer's Pokémon（N）,n/a,130,竜,n/a,n/a,2,Rampaging Thunder,{R}{L}{L}●,250,"During your next turn, this Pokémon can’t use attacks."
907,Noibat,ASC,156,Basic Pokémon,n/a,n/a,n/a,70,竜,n/a,n/a,1,Knickknack Carrying,●,n/a,"Search your deck for a Pokémon Tool card, reveal it, and put it into your hand. Then, shuffle your deck."
907,Noibat,ASC,156,Basic Pokémon,n/a,n/a,n/a,70,竜,n/a,n/a,1,Bite,{P}{D},30,n/a
908,Noivern,ASC,157,Stage 1 Pokémon,n/a,n/a,Noibat,120,竜,n/a,n/a,n/a,Agility,●●,40,"Flip a coin. If heads, during your opponent’s next turn, prevent all damage from and effects of attacks done to this Pokémon."
908,Noivern,ASC,157,Stage 1 Pokémon,n/a,n/a,Noibat,120,竜,n/a,n/a,n/a,Enhanced Blade,{P}{D},70,"If this Pokémon has a Pokémon Tool attached, this attack does 70 more damage."
909,Erika's Oddish,ASC,1,Basic Pokémon,n/a,Trainer's Pokémon（Erika）,n/a,60,{G},{R},n/a,1,Reckless Charge,{G},30,This Pokémon also does 10 damage to itself.
910,Erika's Gloom,ASC,2,Stage 1 Pokémon,n/a,Trainer's Pokémon（Erika）,Erika's Oddish,90,{G},{R},n/a,1,Poison Spray,{G}●,50,Your opponent’s Active Pokémon is now Poisoned.
911,Erika's Vileplume ex,ASC,3,Stage 2 Pokémon,Pokémon ex,Trainer's Pokémon（Erika）,Erika's Gloom,310,{G},{R},n/a,2,[Ability] Lovely Fragrance,n/a,n/a,"Once during your turn, you may use this Ability. Heal 30 damage from each of your Pokémon."
911,Erika's Vileplume ex,ASC,3,Stage 2 Pokémon,Pokémon ex,Trainer's Pokémon（Erika）,Erika's Gloom,310,{G},{R},n/a,2,Bloom Powder,{G}{G}●,160,Your opponent’s Active Pokémon is now Asleep and Poisoned.
912,Erika's Bellsprout,ASC,4,Basic Pokémon,n/a,Trainer's Pokémon（Erika）,n/a,60,{G},{R},n/a,1,Vine Slap,{G},20,n/a
913,Erika's Weepinbell,ASC,5,Stage 1 Pokémon,n/a,Trainer's Pokémon（Erika）,Erika's Bellsprout,90,{G},{R},n/a,2,Melt,{G},30,n/a
913,Erika's Weepinbell,ASC,5,Stage 1 Pokémon,n/a,Trainer's Pokémon（Erika）,Erika's Bellsprout,90,{G},{R},n/a,2,Leafy Cyclone,{G}●,70,"During your next turn, this Pokémon can’t use attacks."
914,Erika's Victreebel,ASC,6,Stage 2 Pokémon,n/a,Trainer's Pokémon（Erika）,Erika's Weepinbell,150,{G},{R},n/a,3,Flower Garden Rondo,{G}●,40×,This attack does 40 damage for each of your Erika’s Pokémon in play.
914,Erika's Victreebel,ASC,6,Stage 2 Pokémon,n/a,Trainer's Pokémon（Erika）,Erika's Weepinbell,150,{G},{R},n/a,3,Solar Beam,{G}{G}●,130,n/a
915,Erika's Tangela,ASC,7,Basic Pokémon,n/a,Trainer's Pokémon（Erika）,n/a,80,{G},{R},n/a,2,[Ability] Gathering of Blossoms,n/a,n/a,"Once during your turn, you may use this Ability. Search your deck for an Erika’s Pokémon, reveal it, and put it into your hand. Then, shuffle your deck."
915,Erika's Tangela,ASC,7,Basic Pokémon,n/a,Trainer's Pokémon（Erika）,n/a,80,{G},{R},n/a,2,Bind,{G}●,50,"Flip a coin. If heads, your opponent’s Active Pokémon is now Paralyzed."
916,Scyther,,1,Basic Pokémon,n/a,n/a,n/a,90,{G},{R},n/a,1,Cut Up,●,10,n/a
916,Scyther,,1,Basic Pokémon,n/a,n/a,n/a,90,{G},{R},n/a,1,Slashing Strike,●●,60,"During your next turn, this Pokémon can’t use Slashing Strike."
917,Chikorita,ASC,8,Basic Pokémon,n/a,n/a,n/a,70,{G},{R},n/a,1,Growl,●,n/a,"During your opponent’s next turn, attacks used by the Defending Pokémon do 20 less damage (before applying Weakness and Resistance)."
917,Chikorita,ASC,8,Basic Pokémon,n/a,n/a,n/a,70,{G},{R},n/a,1,Seed Bomb,{G}{G},30,n/a
918,Bayleef,ASC,9,Stage 1 Pokémon,n/a,n/a,Chikorita,100,{G},{R},n/a,2,Leaf Step,{G}{G},60,n/a
919,Mega Meganium ex,ASC,10,Stage 2 Pokémon,Mega Pokémon ex,n/a,Bayleef,360,{G},{R},n/a,2,Giant Bouquet,●●●,70,This attack does 50 more damage for each {G} Energy attached to this Pokémon.
920,Tapu Bulu,SFA,6,Basic Pokémon,n/a,n/a,n/a,140,{G},{R},n/a,3,Wood Hammer,{G}{G}●●,220,This Pokémon also does 30 damage to itself.
921,Dipplin,SCR,13,Stage 1 Pokémon,n/a,n/a,Applin,90,{G},{R},n/a,3,Coated Attack,{G},20,"During your opponent’s next turn, prevent all damage done to this Pokémon by attacks from Basic Pokémon."
922,Sprigatito,JTG,16,Basic Pokémon,n/a,n/a,n/a,60,{G},{R},n/a,1,Tons of Treading,●,10×,Flip 3 coins. This attack does 10 damage for each heads.
923,Floragato,JTG,17,Stage 1 Pokémon,n/a,n/a,Sprigatito,90,{G},{R},n/a,1,Magical Leaf,●●,30,"Flip a coin. If heads, this attack does 30 more damage, and heal 30 damage from this Pokémon."
924,Meowscarada,JTG,18,Stage 2 Pokémon,n/a,n/a,Floragato,160,{G},{R},n/a,1,[Ability] Showtime,n/a,n/a,"Once during your turn, if this Pokémon is on your Bench, you may switch it with your Active Pokémon."
924,Meowscarada,JTG,18,Stage 2 Pokémon,n/a,n/a,Floragato,160,{G},{R},n/a,1,Rising Bloom,●●,90,"If your opponent’s Active Pokémon is a Pokémon {ex}, this attack does 90 more damage."
925,Capsakid,,12,Basic Pokémon,n/a,n/a,n/a,70,{G},{R},n/a,1,Headbutt Bounce,●●,20,n/a
926,Charmander,ASC,20,Basic Pokémon,n/a,n/a,n/a,80,{R},{W},n/a,1,Fire Claws,{R}●,30,n/a
927,Charmeleon,ASC,21,Stage 1 Pokémon,n/a,n/a,Charmander,100,{R},{W},n/a,1,Heat Blast,{R}●,50,n/a
928,Mega Charizard Y ex,ASC,22,Stage 2 Pokémon,Mega Pokémon ex,n/a,Charmeleon,360,{R},{W},n/a,1,Explosion Y,{R}{R}●,n/a,"Discard 3 Energy from this Pokémon, and this attack does 280 damage to 1 of your opponent’s Pokémon. (Don’t apply Weakness and Resistance for Benched Pokémon.)"
929,Magmar,,20,Basic Pokémon,n/a,n/a,n/a,80,{R},{W},n/a,2,Searing Flame,{R}●,30,"Flip a coin. If heads, your opponent’s Active Pokémon is now Burned."
930,Tepig,ASC,29,Basic Pokémon,n/a,n/a,n/a,80,{R},{W},n/a,2,Steady Firebreathing,{R},20,n/a
931,Pignite,ASC,30,Stage 1 Pokémon,n/a,n/a,Tepig,110,{R},{W},n/a,3,Super Singe,{R}{R}●,70,Your opponent’s Active Pokémon is now Burned.
932,Mega Emboar ex,ASC,31,Stage 2 Pokémon,Mega Pokémon ex,n/a,Pignite,380,{R},{W},n/a,4,Crimson Blast,{R}{R}●,320,This Pokémon also does 60 damage to itself.
933,Larvesta,SSP,24,Basic Pokémon,n/a,n/a,n/a,70,{R},{W},n/a,2,Ram,●,10,n/a
933,Larvesta,SSP,24,Basic Pokémon,n/a,n/a,n/a,70,{R},{W},n/a,2,Steady Firebreathing,{R}●,20,n/a
934,Centiskorch,SSP,28,Stage 1 Pokémon,n/a,n/a,Sizzlipede,130,{R},{W},n/a,2,Billowing Heat Wave,{R},130,This attack also does 30 damage to each of your Benched Pokémon. (Don’t apply Weakness and Resistance for Benched Pokémon.)
934,Centiskorch,SSP,28,Stage 1 Pokémon,n/a,n/a,Sizzlipede,130,{R},{W},n/a,2,Heat Blast,●●●,80,n/a
935,Fuecoco,SSP,29,Basic Pokémon,n/a,n/a,n/a,80,{R},{W},n/a,2,Heat Burn,{R}●,20,Your opponent’s Active Pokémon is now Burned.
936,Crocalor,SSP,30,Stage 1 Pokémon,n/a,n/a,Fuecoco,110,{R},{W},n/a,3,Heat Breath,{R}●,30,"Flip a coin. If heads, this attack does 50 more damage."
937,Totodile,ASC,41,Basic Pokémon,n/a,n/a,n/a,80,{W},{L},n/a,1,Slight Intrusion,{W}{W},40,This Pokémon also does 10 damage to itself.
938,Croconaw,ASC,42,Stage 1 Pokémon,n/a,n/a,Totodile,100,{W},{L},n/a,2,Crunch,{W}{W},50,"Flip a coin. If heads, discard an Energy from your opponent’s Active Pokémon."
939,Mega Feraligatr ex,ASC,43,Stage 2 Pokémon,Mega Pokémon ex,n/a,Croconaw,370,{W},{L},n/a,3,Mortal Crunch,{W}{W}●,200,"If your opponent’s Active Pokémon already has any damage counters on it, this attack does 200 more damage."
940,Glalie,TWM,52,Stage 1 Pokémon,n/a,n/a,Snorunt,120,{W},{M},n/a,2,Damage Beat,{W},20×,This attack does 20 damage for each damage counter on your opponent’s Active Pokémon.
940,Glalie,TWM,52,Stage 1 Pokémon,n/a,n/a,Snorunt,120,{W},{M},n/a,2,Crazy Headbutt,{W}●●,140,Discard an Energy from this Pokémon.
941,Spheal,SSP,43,Basic Pokémon,n/a,n/a,n/a,70,{W},{M},n/a,2,Powder Snow,{W},10,Your opponent’s Active Pokémon is now Asleep.
942,Sealeo,SSP,44,Stage 1 Pokémon,n/a,n/a,Spheal,100,{W},{M},n/a,3,Lunge Out,{W},30,n/a
942,Sealeo,SSP,44,Stage 1 Pokémon,n/a,n/a,Spheal,100,{W},{M},n/a,3,Ice Ball,{W}{W},60,n/a
943,Walrein,SSP,45,Stage 2 Pokémon,n/a,n/a,Sealeo,170,{W},{M},n/a,3,Frigid Fangs,{W},60,"During your opponent’s next turn, Pokémon that have 2 or less Energy attached can’t use attacks. (This includes new Pokémon that come into play.)"
943,Walrein,SSP,45,Stage 2 Pokémon,n/a,n/a,Sealeo,170,{W},{M},n/a,3,Megaton Fall,{W}{W},170,This Pokémon also does 50 damage to itself.
944,Regice ex,ASC,48,Basic Pokémon,Pokémon ex,n/a,n/a,230,{W},{M},n/a,3,Regi Charge,●,n/a,Attach up to 2 Basic {W} Energy cards from your discard pile to this Pokémon.
944,Regice ex,ASC,48,Basic Pokémon,Pokémon ex,n/a,n/a,230,{W},{M},n/a,3,Ice Prison,{W}●●●,140,"Discard 2 Energy from this Pokémon, and your opponent’s Active Pokémon is now Paralyzed."
945,Froakie,SCR,39,Basic Pokémon,n/a,n/a,n/a,60,{W},{L},n/a,1,Rain Splash,{W}●,20,n/a
946,Cramorant,TWM,58,Basic Pokémon,n/a,n/a,n/a,110,{W},{L},n/a,1,Water Gun,{W},20,n/a
946,Cramorant,TWM,58,Basic Pokémon,n/a,n/a,n/a,110,{W},{L},n/a,1,Spit Shot,●●●,n/a,"Discard all Energy from this Pokémon, and this attack does 120 damage to 1 of your opponent’s Pokémon. (Don’t apply Weakness and Resistance for Benched Pokémon.)"
947,Quaxly,,50,Basic Pokémon,n/a,n/a,n/a,60,{W},{L},n/a,1,Aerial Ace,{W},10,"Flip a coin. If heads, this attack does 20 more damage."
948,Pikachu,ASC,55,Basic Pokémon,n/a,n/a,n/a,70,{L},{F},n/a,1,Tail Smack,{L},10,n/a
948,Pikachu,ASC,55,Basic Pokémon,n/a,n/a,n/a,70,{L},{F},n/a,1,Tiny Bolt,{L}●,30,n/a
949,Raichu,ASC,56,Stage 1 Pokémon,n/a,n/a,Pikachu,130,{L},{F},n/a,1,Quick Blow,{L},20,"Flip a coin. If heads, this attack does 50 more damage."
949,Raichu,ASC,56,Stage 1 Pokémon,n/a,n/a,Pikachu,130,{L},{F},n/a,1,Strong Volt,{L}{L}●,150,Discard a {L} Energy from this Pokémon.
950,Magnemite,SSP,58,Basic Pokémon,n/a,n/a,n/a,60,{L},{F},n/a,1,Lightning Ball,{L},20,n/a
951,Voltorb ex,ASC,58,Basic Pokémon,Pokémon ex,n/a,n/a,170,{L},{F},n/a,1,Hundred-Hitting Ball,●●●,100,Flip a coin until you get tails. This attack does 100 more damage for each heads.
952,Zapdos,PROMO,157,Basic Pokémon,n/a,n/a,n/a,110,{L},{L},{F},1,Follow-Up Bolt,{L}●,20,This attack does 10 more damage for each damage counter on your opponent’s Active Pokémon.
952,Zapdos,PROMO,157,Basic Pokémon,n/a,n/a,n/a,110,{L},{L},{F},1,Drill Peck,{L}●●,80,n/a
953,Zapdos,TWM,65,Basic Pokémon,n/a,n/a,n/a,120,{L},{L},{F},2,Thunder Wave,{L},n/a,"Flip a coin. If heads, your opponent’s Active Pokémon is now Paralyzed."
953,Zapdos,TWM,65,Basic Pokémon,n/a,n/a,n/a,120,{L},{L},{F},2,Thunderbolt,{L}{L}●,190,Discard all Energy from this Pokémon.
954,Luxray ex,TWM,68,Stage 2 Pokémon,Pokémon ex,n/a,Luxio,310,{L},{F},n/a,1,Piercing Gaze,●●,120,"Your opponent reveals their hand, and you discard a card you find there."
954,Luxray ex,TWM,68,Stage 2 Pokémon,Pokémon ex,n/a,Luxio,310,{L},{F},n/a,1,Volt Strike,{L}{L},250,Discard all Energy from this Pokémon.
955,Helioptile,TWM,70,Basic Pokémon,n/a,n/a,n/a,60,{L},{F},n/a,1,Collect,●,n/a,Draw a card.
955,Helioptile,TWM,70,Basic Pokémon,n/a,n/a,n/a,60,{L},{F},n/a,1,Static Shock,{L},10,n/a
956,Zeraora,SCR,55,Basic Pokémon,n/a,n/a,n/a,120,{L},{F},n/a,1,Combat Thunder,{L}●,20,This attack does 20 more damage for each of your opponent’s Benched Pokémon.
957,Miraidon ex,ASC,73,Basic Pokémon,Pokémon ex,Tera(Lightning),n/a,220,{L},{F},n/a,1,Tera,n/a,n/a,"As long as this Pokémon is on your Bench, prevent all damage done to this Pokémon by attacks (both yours and your opponent’s)."
957,Miraidon ex,ASC,73,Basic Pokémon,Pokémon ex,Tera(Lightning),n/a,220,{L},{F},n/a,1,Slashing Claw,{L},40,n/a
957,Miraidon ex,ASC,73,Basic Pokémon,Pokémon ex,Tera(Lightning),n/a,220,{L},{F},n/a,1,Hadron Spark,{L}{L}●,120,"If your opponent’s Active Pokémon is a Pokémon {ex}, this attack does 120 more damage."
958,Clefable,ASC,75,Stage 1 Pokémon,n/a,n/a,Clefairy,120,{P},{M},n/a,2,Metronome,●●,n/a,Choose 1 of your opponent’s Active Pokémon’s attacks and use it as this attack.
958,Clefable,ASC,75,Stage 1 Pokémon,n/a,n/a,Clefairy,120,{P},{M},n/a,2,Magical Shot,{P}●●,100,n/a
959,Togepi,ASC,80,Basic Pokémon,n/a,n/a,n/a,50,{P},{M},n/a,1,Pound,●●,30,n/a
960,Togetic,ASC,81,Stage 1 Pokémon,n/a,n/a,Togepi,90,{P},{M},n/a,1,Draining Kiss,●●,30,Heal 30 damage from this Pokémon.
961,Marill,ASC,83,Basic Pokémon,n/a,n/a,n/a,70,{P},{M},n/a,1,Hide,●,n/a,"Flip a coin. If heads, during your opponent’s next turn, prevent all damage from and effects of attacks done to this Pokémon."
961,Marill,ASC,83,Basic Pokémon,n/a,n/a,n/a,70,{P},{M},n/a,1,Flop,{P}●,20,n/a
962,Azumarill ex,ASC,84,Stage 1 Pokémon,Pokémon ex,n/a,Marill,270,{P},{M},n/a,2,[Ability] Bubble Gathering,n/a,n/a,"As often as you like during your turn, you may use this Ability. Move an Energy from 1 of your other Pokémon to this Pokémon."
962,Azumarill ex,ASC,84,Stage 1 Pokémon,Pokémon ex,n/a,Marill,270,{P},{M},n/a,2,Energized Balloon,●●●,60,This attack does 40 more damage for each {P} Energy attached to this Pokémon.
963,Shuppet,ASC,90,Basic Pokémon,n/a,n/a,n/a,60,{P},{D},{F},1,Spooky Shot,{P},20,n/a
964,Beheeyem,TEF,74,Stage 1 Pokémon,n/a,n/a,Elgyem,100,{P},{D},{F},1,Cosmic Beatdown,{P},20×,This attack does 20 damage for each of your Pokémon in play.
965,Swirlix,ASC,93,Basic Pokémon,n/a,n/a,n/a,60,{P},{M},n/a,1,Ram,{P},20,n/a
966,Slurpuff,ASC,94,Stage 1 Pokémon,n/a,n/a,Swirlix,120,{P},{M},n/a,2,Tackle,{P},40,n/a
966,Slurpuff,ASC,94,Stage 1 Pokémon,n/a,n/a,Swirlix,120,{P},{M},n/a,2,Magical Shot,{P}●,70,n/a
967,Fidough,SCR,66,Basic Pokémon,n/a,n/a,n/a,60,{P},{M},n/a,2,Pleasant Aroma,●,n/a,"Search your deck for a Basic Pokémon and put it onto your Bench. Then, shuffle your deck."
967,Fidough,SCR,66,Basic Pokémon,n/a,n/a,n/a,60,{P},{M},n/a,2,Stampede,●,10,n/a
968,Dachsbun ex,SCR,67,Stage 1 Pokémon,Pokémon ex,n/a,Fidough,250,{P},{M},n/a,2,[Ability] Time to Chow Down,n/a,n/a,"Once during your turn, when you play this Pokémon from your hand to evolve 1 of your Pokémon, you may use this Ability. Heal all damage from each of your Evolution Pokémon. If you healed any damage in this way, discard all Energy from those Pokémon."
968,Dachsbun ex,SCR,67,Stage 1 Pokémon,Pokémon ex,n/a,Fidough,250,{P},{M},n/a,2,Wonder Shine,●●,130,Your opponent’s Active Pokémon is now Confused.
969,Scream Tail ex,TWM,94,Basic Pokémon,Pokémon ex,Ancient,n/a,190,{P},{D},{F},1,Scream,●,n/a,"You can use this attack only if you go second, and only during your first turn. Your opponent can’t play any Supporter cards from their hand during their next turn."
969,Scream Tail ex,TWM,94,Basic Pokémon,Pokémon ex,Ancient,n/a,190,{P},{D},{F},1,Crunch,{P}●●,120,Discard an Energy from your opponent’s Active Pokémon.
970,Fezandipiti,TWM,96,Basic Pokémon,n/a,n/a,n/a,120,{P},{M},n/a,1,[Ability] Adrena-Pheromone,n/a,n/a,"If this Pokémon has any {D} Energy attached and is damaged by an attack, flip a coin. If heads, prevent that damage."
970,Fezandipiti,TWM,96,Basic Pokémon,n/a,n/a,n/a,120,{P},{M},n/a,1,Energy Feather,{P},30×,This attack does 30 damage for each Energy attached to this Pokémon.
971,Iron Boulder,SCR,71,Basic Pokémon,n/a,Future,n/a,140,{P},{D},{F},3,Adjusted Horn,{P}●,170,"If you don’t have the same number of cards in your hand as your opponent, this attack does nothing."
972,Hitmontop,ASC,102,Basic Pokémon,n/a,n/a,n/a,100,{F},{P},n/a,1,Spin and Draw,●,n/a,"Shuffle your hand into your deck. Then, draw 6 cards."
972,Hitmontop,ASC,102,Basic Pokémon,n/a,n/a,n/a,100,{F},{P},n/a,1,Low Kick,{F}●,50,n/a
973,Groudon,ASC,108,Basic Pokémon,n/a,n/a,n/a,140,{F},{G},n/a,3,Hammer In,{F}{F}●,80,n/a
