カード ID,カード名,エキスパンションマーク,コレクション番号,ポケモンの進化の段階/エネルギー・トレーナーズの種類,ルール,カテゴリ,進化前,HP,タイプ,弱点,抵抗力,にげる,ワザ名,コスト,ダメージ,効果の説明
915,エリカのモンジャラ,MC,014/742,ポケモン/たね,n/a,トレーナーのポケモン（エリカ）,n/a,80,草,炎,n/a,2,しめつける,草●,50,コインを1回投げオモテなら、相手のバトルポケモンを【マヒ】にする。
916,ストライク,MC,015/742,ポケモン/たね,n/a,n/a,n/a,90,草,炎,n/a,1,きる,●,10,n/a
916,ストライク,MC,015/742,ポケモン/たね,n/a,n/a,n/a,90,草,炎,n/a,1,スラッシュダウン,●●,60,次の自分の番、このポケモンは「スラッシュダウン」が使えない。
917,チコリータ,MC,016/742,ポケモン/たね,n/a,n/a,n/a,70,草,炎,n/a,1,なきごえ,●,n/a,次の相手の番、このワザを受けたポケモンが使うワザのダメージは「-20」される。
917,チコリータ,MC,016/742,ポケモン/たね,n/a,n/a,n/a,70,草,炎,n/a,1,タネばくだん,草草,30,n/a
918,ベイリーフ,MC,017/742,ポケモン/1進化,n/a,n/a,チコリータ,100,草,炎,n/a,2,リーフステップ,草草,60,n/a
919,メガメガニウムex,MC,018/742,ポケモン/2進化,メガシンカex,n/a,ベイリーフ,360,草,炎,n/a,2,ジャイアントブーケ,●●●,70,このポケモンについている【草】エネルギーの数×50ダメージ追加。
920,カプ・ブルル,MC,061/742,ポケモン/たね,n/a,n/a,n/a,140,草,炎,n/a,3,ウッドハンマー,草草●●,220,このポケモンにも30ダメージ。
921,カミッチュ,MC,063/742,ポケモン/1進化,n/a,n/a,カジッチュ,90,草,炎,n/a,3,コーティングアタック,草,20,次の相手の番、このポケモンは【たね】ポケモンからワザのダメージを受けない。
922,ニャオハ,MC,065/742,ポケモン/たね,n/a,n/a,n/a,60,草,炎,n/a,1,ふみまくる,●,10×,コインを3回投げ、オモテの数×10ダメージ。
923,ニャローテ,MC,066/742,ポケモン/1進化,n/a,n/a,ニャオハ,90,草,炎,n/a,1,マジカルリーフ,●●,30,コインを1回投げオモテなら、30ダメージ追加し、このポケモンのHPを「30」回復する。
924,マスカーニャ,MC,067/742,ポケモン/2進化,n/a,n/a,ニャローテ,160,草,炎,n/a,1,[特性]ショータイム,n/a,n/a,このポケモンがベンチにいるなら、自分の番に1回使える。このポケモンをバトルポケモンと入れ替える。
924,マスカーニャ,MC,067/742,ポケモン/2進化,n/a,n/a,ニャローテ,160,草,炎,n/a,1,ライジングブルーム,●●,90,相手のバトルポケモンが「ポケモン【ex】」なら、90ダメージ追加。
925,カプサイジ,MC,076/742,ポケモン/たね,n/a,n/a,n/a,70,草,炎,n/a,1,とびだしヘッド,●●,20,n/a
926,ヒトカゲ,MC,083/742,ポケモン/たね,n/a,n/a,n/a,80,炎,水,n/a,1,ほのおのツメ,炎●,30,n/a
927,リザード,MC,084/742,ポケモン/1進化,n/a,n/a,ヒトカゲ,100,炎,水,n/a,1,ヒートブラスト,炎●,50,n/a
928,メガリザードンYex,MC,085/742,ポケモン/2進化,メガシンカex,n/a,リザード,360,炎,水,n/a,1,プロージョンY,炎炎●,n/a,このポケモンについているエネルギーを3個トラッシュし、相手のポケモン1匹に、280ダメージ。［ベンチは弱点・抵抗力を計算しない。］
929,ブーバー,MC,091/742,ポケモン/たね,n/a,n/a,n/a,80,炎,水,n/a,2,やきこがす,炎●,30,コインを1回投げオモテなら、相手のバトルポケモンを【やけど】にする。
930,ポカブ,MC,109/742,ポケモン/たね,n/a,n/a,n/a,80,炎,水,n/a,2,ひをはく,炎,20,n/a
931,チャオブー,MC,111/742,ポケモン/1進化,n/a,n/a,ポカブ,110,炎,水,n/a,3,ほのおでこがす,炎炎●,70,相手のバトルポケモンを【やけど】にする。
932,メガエンブオーex,MC,113/742,ポケモン/2進化,メガシンカex,n/a,チャオブー,380,炎,水,n/a,4,クリムゾンボム,炎炎●,320,このポケモンにも60ダメージ。
933,メラルバ,MC,121/742,ポケモン/たね,n/a,n/a,n/a,70,炎,水,n/a,2,ぶつかる,●,10,n/a
933,メラルバ,MC,121/742,ポケモン/たね,n/a,n/a,n/a,70,炎,水,n/a,2,ひをはく,炎●,20,n/a
934,マルヤクデ,MC,141/742,ポケモン/1進化,n/a,n/a,ヤクデ,130,炎,水,n/a,2,もえるねっぱ,炎,130,自分のベンチポケモン全員にも、それぞれ30ダメージ。［ベンチは弱点・抵抗力を計算しない。］
934,マルヤクデ,MC,141/742,ポケモン/1進化,n/a,n/a,ヤクデ,130,炎,水,n/a,2,ヒートブラスト,●●●,80,n/a
935,ホゲータ,MC,142/742,ポケモン/たね,n/a,n/a,n/a,80,炎,水,n/a,2,ねつでこがす,炎●,20,相手のバトルポケモンを【やけど】にする。
936,アチゲータ,MC,143/742,ポケモン/1進化,n/a,n/a,ホゲータ,110,炎,水,n/a,3,ヒートブレス,炎●,30,コインを1回投げオモテなら、50ダメージ追加。
937,ワニノコ,MC,165/742,ポケモン/たね,n/a,n/a,n/a,80,水,雷,n/a,1,ちょっとつっこむ,水水,40,このポケモンにも10ダメージ。
938,アリゲイツ,MC,167/742,ポケモン/1進化,n/a,n/a,ワニノコ,100,水,雷,n/a,2,かみくだく,水水,50,コインを1回投げオモテなら、相手のバトルポケモンについているエネルギーを1個選び、トラッシュする。
939,メガオーダイルex,MC,169/742,ポケモン/2進化,メガシンカex,n/a,アリゲイツ,370,水,雷,n/a,3,キラークランチ,水水●,200,相手のバトルポケモンにダメカンがのっているなら、200ダメージ追加。
940,オニゴーリ,MC,187/742,ポケモン/1進化,n/a,n/a,ユキワラシ,120,水,鋼,n/a,2,ダメージビート,水,20×,相手のバトルポケモンにのっているダメカンの数×20ダメージ。
940,オニゴーリ,MC,187/742,ポケモン/1進化,n/a,n/a,ユキワラシ,120,水,鋼,n/a,2,クレイジーヘッズ,水●●,140,このポケモンについているエネルギーを1個選び、トラッシュする。
941,タマザラシ,MC,188/742,ポケモン/たね,n/a,n/a,n/a,70,水,鋼,n/a,2,こなゆき,水,10,相手のバトルポケモンを【ねむり】にする。
942,トドグラー,MC,189/742,ポケモン/1進化,n/a,n/a,タマザラシ,100,水,鋼,n/a,3,つきたおし,水,30,n/a
942,トドグラー,MC,189/742,ポケモン/1進化,n/a,n/a,タマザラシ,100,水,鋼,n/a,3,アイスボール,水水,60,n/a
943,トドゼルガ,MC,190/742,ポケモン/2進化,n/a,n/a,トドグラー,170,水,鋼,n/a,3,とうけつファング,水,60,次の相手の番、ついているエネルギーが2個以下のポケモン全員は、ワザが使えない。（新しく場に出したポケモンもふくむ。）
943,トドゼルガ,MC,190/742,ポケモン/2進化,n/a,n/a,トドグラー,170,水,鋼,n/a,3,メガトンフォール,水水,170,このポケモンにも50ダメージ。
944,レジアイスex,MC,192/742,ポケモン/たね,ex,n/a,n/a,230,水,鋼,n/a,3,レジチャージ,●,n/a,自分のトラッシュから「基本【水】エネルギー」を2枚まで選び、このポケモンにつける。
944,レジアイスex,MC,192/742,ポケモン/たね,ex,n/a,n/a,230,水,鋼,n/a,3,アイスプリズン,水●●●,140,このポケモンについているエネルギーを2個トラッシュし、相手のバトルポケモンを【マヒ】にする。
945,ケロマツ,MC,206/742,ポケモン/たね,n/a,n/a,n/a,60,水,雷,n/a,1,みずかけ,水●,20,n/a
946,ウッウ,MC,210/742,ポケモン/たね,n/a,n/a,n/a,110,水,雷,n/a,1,みずでっぽう,水,20,n/a
946,ウッウ,MC,210/742,ポケモン/たね,n/a,n/a,n/a,110,水,雷,n/a,1,スピットシュート,●●●,n/a,このポケモンについているエネルギーをすべてトラッシュし、相手のポケモン1匹に、120ダメージ。［ベンチは弱点・抵抗力を計算しない。］
947,クワッス,MC,211/742,ポケモン/たね,n/a,n/a,n/a,60,水,雷,n/a,1,つばめがえし,水,10,コインを1回投げオモテなら、20ダメージ追加。
948,ピカチュウ,MC,225/742,ポケモン/たね,n/a,n/a,n/a,70,雷,闘,n/a,1,しっぽでたたく,雷,10,n/a
948,ピカチュウ,MC,225/742,ポケモン/たね,n/a,n/a,n/a,70,雷,闘,n/a,1,プチボルト,雷●,30,n/a
949,ライチュウ,MC,226/742,ポケモン/1進化,n/a,n/a,ピカチュウ,130,雷,闘,n/a,1,クイックアタック,雷,20,コインを1回投げオモテなら、50ダメージ追加。
949,ライチュウ,MC,226/742,ポケモン/1進化,n/a,n/a,ピカチュウ,130,雷,闘,n/a,1,ストロングボルト,雷雷●,150,このポケモンについている【雷】エネルギーを1個選び、トラッシュする。
950,コイル,MC,231/742,ポケモン/たね,n/a,n/a,n/a,60,雷,闘,n/a,1,ピッカリだま,雷,20,n/a
951,ビリリダマex,MC,233/742,ポケモン/たね,ex,n/a,n/a,170,雷,闘,n/a,1,ひゃくれつボール,●●●,100,ウラが出るまでコインを投げ、オモテの数×100ダメージ追加。
952,サンダー,MC,239/742,ポケモン/たね,n/a,n/a,n/a,110,雷,雷,闘,1,ついげきボルト,雷●,20,相手のバトルポケモンにのっているダメカンの数×10ダメージ追加。
952,サンダー,MC,239/742,ポケモン/たね,n/a,n/a,n/a,110,雷,雷,闘,1,ドリルくちばし,雷●●,80,n/a
953,サンダー,MC,240/742,ポケモン/たね,n/a,n/a,n/a,120,雷,雷,闘,2,でんじは,雷,n/a,コインを1回投げオモテなら、相手のバトルポケモンを【マヒ】にする。
953,サンダー,MC,240/742,ポケモン/たね,n/a,n/a,n/a,120,雷,雷,闘,2,10まんボルト,雷雷●,190,このポケモンについているエネルギーを、すべてトラッシュする。
954,レントラーex,MC,246/742,ポケモン/2進化,ex,n/a,ルクシオ,310,雷,闘,n/a,1,つきさすがんこう,●●,120,相手の手札を見て、その中からカードを1枚選び、トラッシュする。
954,レントラーex,MC,246/742,ポケモン/2進化,ex,n/a,ルクシオ,310,雷,闘,n/a,1,ボルトストライク,雷雷,250,このポケモンについているエネルギーを、すべてトラッシュする。
955,エリキテル,MC,260/742,ポケモン/たね,n/a,n/a,n/a,60,雷,闘,n/a,1,もってくる,●,n/a,自分の山札を1枚引く。
955,エリキテル,MC,260/742,ポケモン/たね,n/a,n/a,n/a,60,雷,闘,n/a,1,バチバチ,雷,10,n/a
956,ゼラオラ,MC,267/742,ポケモン/たね,n/a,n/a,n/a,120,雷,闘,n/a,1,コンバットサンダー,雷●,20,相手のベンチポケモンの数×20ダメージ追加。
957,ミライドンex,MC,284/742,ポケモン/たね,ex,テラスタル(でんき),n/a,220,雷,闘,n/a,1,テラスタル,n/a,n/a,このポケモンは、ベンチにいるかぎり、ワザのダメージを受けない。
957,ミライドンex,MC,284/742,ポケモン/たね,ex,テラスタル(でんき),n/a,220,雷,闘,n/a,1,スラッシュクロー,雷,40,n/a
957,ミライドンex,MC,284/742,ポケモン/たね,ex,テラスタル(でんき),n/a,220,雷,闘,n/a,1,ハドロンスパーク,雷雷●,120,相手のバトルポケモンが「ポケモン【ex】」なら、120ダメージ追加。
958,ピクシー,MC,286/742,ポケモン/1進化,n/a,n/a,ピッピ,120,超,鋼,n/a,2,ゆびをふる,●●,n/a,相手のバトルポケモンが持っているワザを1つ選び、このワザとして使う。
958,ピクシー,MC,286/742,ポケモン/1進化,n/a,n/a,ピッピ,120,超,鋼,n/a,2,マジカルショット,超●●,100,n/a
959,トゲピー,MC,291/742,ポケモン/たね,n/a,n/a,n/a,50,超,鋼,n/a,1,はたく,●●,30,n/a
960,トゲチック,MC,292/742,ポケモン/1進化,n/a,n/a,トゲピー,90,超,鋼,n/a,1,ドレインキッス,●●,30,このポケモンのHPを「30」回復する。
961,マリル,MC,295/742,ポケモン/たね,n/a,n/a,n/a,70,超,鋼,n/a,1,かくれる,●,n/a,コインを1回投げオモテなら、次の相手の番、このポケモンはワザのダメージや効果を受けない。
961,マリル,MC,295/742,ポケモン/たね,n/a,n/a,n/a,70,超,鋼,n/a,1,はねまわる,超●,20,n/a
962,マリルリex,MC,297/742,ポケモン/1進化,ex,n/a,マリル,270,超,鋼,n/a,2,[特性]シャボンあつめ,n/a,n/a,自分の番に何回でも使える。自分の場のポケモンについているエネルギーを1個選び、このポケモンにつけ替える。
962,マリルリex,MC,297/742,ポケモン/1進化,ex,n/a,マリル,270,超,鋼,n/a,2,エナジーバルーン,●●●,60,このポケモンについている【超】エネルギーの数×40ダメージ追加。
963,カゲボウズ,MC,307/742,ポケモン/たね,n/a,n/a,n/a,60,超,悪,闘,1,ホロウショット,超,20,n/a
964,オーベム,MC,327/742,ポケモン/1進化,n/a,n/a,リグレー,100,超,悪,闘,1,コスモビート,超,20×,自分の場のポケモンの数×20ダメージ。
965,ペロッパフ,MC,333/742,ポケモン/たね,n/a,n/a,n/a,60,超,鋼,n/a,1,ぶつかる,超,20,n/a
966,ペロリーム,MC,334/742,ポケモン/1進化,n/a,n/a,ペロッパフ,120,超,鋼,n/a,2,たいあたり,超,40,n/a
966,ペロリーム,MC,334/742,ポケモン/1進化,n/a,n/a,ペロッパフ,120,超,鋼,n/a,2,マジカルショット,超●,70,n/a
967,パピモッチ,MC,347/742,ポケモン/たね,n/a,n/a,n/a,60,超,鋼,n/a,2,いいにおい,●,n/a,自分の山札から【たね】ポケモンを1枚選び、ベンチに出す。そして山札を切る。
967,パピモッチ,MC,347/742,ポケモン/たね,n/a,n/a,n/a,60,超,鋼,n/a,2,ふむ,●,10,n/a
968,バウッツェルex,MC,348/742,ポケモン/1進化,ex,n/a,パピモッチ,250,超,鋼,n/a,2,[特性]まんぷくタイム,n/a,n/a,自分の番に、このカードを手札から出して進化させたとき、1回使える。自分の進化ポケモン全員のHPを、すべて回復する。その後、回復したポケモンについているエネルギーを、すべてトラッシュする。
968,バウッツェルex,MC,348/742,ポケモン/1進化,ex,n/a,パピモッチ,250,超,鋼,n/a,2,ワンダーシャイン,●●,130,相手のバトルポケモンを【こんらん】にする。
969,サケブシッポex,MC,353/742,ポケモン/たね,ex,古代,n/a,190,超,悪,闘,1,ぜっきょう,●,n/a,このワザは、後攻プレイヤーの最初の番にだけ使える。次の相手の番、相手は手札からサポートを出して使えない。
969,サケブシッポex,MC,353/742,ポケモン/たね,ex,古代,n/a,190,超,悪,闘,1,かみくだく,超●●,120,相手のバトルポケモンについているエネルギーを1個選び、トラッシュする。
970,キチキギス,MC,359/742,ポケモン/たね,n/a,n/a,n/a,120,超,鋼,n/a,1,[特性]アドレナフェロモン,n/a,n/a,このポケモンに【悪】エネルギーがついているなら、このポケモンがワザのダメージを受けるとき、自分はコインを1回投げる。オモテなら、このポケモンはそのダメージを受けない。
970,キチキギス,MC,359/742,ポケモン/たね,n/a,n/a,n/a,120,超,鋼,n/a,1,エナジーフェザー,超,30×,このポケモンについているエネルギーの数×30ダメージ。
971,テツノイワオ,MC,360/742,ポケモン/たね,n/a,未来,n/a,140,超,悪,闘,3,アジャストホーン,超●,170,自分の手札と相手の手札が同じ枚数でないなら、このワザは失敗。
972,カポエラー,MC,367/742,ポケモン/たね,n/a,n/a,n/a,100,闘,超,n/a,1,スピンドロー,●,n/a,自分の手札をすべて山札にもどして切る。その後、山札を6枚引く。
972,カポエラー,MC,367/742,ポケモン/たね,n/a,n/a,n/a,100,闘,超,n/a,1,けたぐり,闘●,50,n/a
973,グラードン,MC,375/742,ポケモン/たね,n/a,n/a,n/a,140,闘,草,n/a,3,ぶちかます,闘闘●,80,n/a
973,グラードン,MC,375/742,ポケモン/たね,n/a,n/a,n/a,140,闘,草,n/a,3,メガトンフォール,闘闘●●,150,このポケモンにも30ダメージ。
974,リオル,MC,379/742,ポケモン/たね,n/a,n/a,n/a,70,闘,超,n/a,1,パンチ,闘●,30,n/a
975,マッギョex,MC,394/742,ポケモン/たね,ex,n/a,n/a,210,闘,草,n/a,2,かじりつく,闘,30,次の相手の番、このワザを受けたポケモンは、にげられない。
975,マッギョex,MC,394/742,ポケモン/たね,ex,n/a,n/a,210,闘,草,n/a,2,びちびちトラップ,闘●●,100,このポケモンにダメカンがのっているなら、100ダメージ追加。
976,メレシー,MC,400/742,ポケモン/たね,n/a,n/a,n/a,90,闘,草,n/a,1,[特性]ダブルタイプ,n/a,n/a,このポケモンは、場にいるかぎり【闘】と【超】の2つのタイプになる。
976,メレシー,MC,400/742,ポケモン/たね,n/a,n/a,n/a,90,闘,草,n/a,1,カウンタージュエル,闘闘●,70,相手のサイドの残り枚数が2枚以下なら、100ダメージ追加。
977,マケンカニ,MC,401/742,ポケモン/たね,n/a,n/a,n/a,90,闘,超,n/a,3,はさむ,●●,20,n/a
977,マケンカニ,MC,401/742,ポケモン/たね,n/a,n/a,n/a,90,闘,超,n/a,3,クラブハンマー,●●●,50,n/a
978,ナゲツケサル,MC,407/742,ポケモン/たね,n/a,n/a,n/a,110,闘,超,n/a,1,れんけいスロー,闘●,20×,自分の場の【たね】ポケモンの数×20ダメージ。
979,コライドンex,MC,425/742,ポケモン/たね,ex,テラスタル(かくとう),n/a,230,闘,超,n/a,2,テラスタル,n/a,n/a,このポケモンは、ベンチにいるかぎり、ワザのダメージを受けない。
979,コライドンex,MC,425/742,ポケモン/たね,ex,テラスタル(かくとう),n/a,230,闘,超,n/a,2,ひひいろのキバ,闘●,50,前の相手の番に、ワザのダメージで、自分のポケモンが【きぜつ】していたなら、120ダメージ追加。
979,コライドンex,MC,425/742,ポケモン/たね,ex,テラスタル(かくとう),n/a,230,闘,超,n/a,2,インパクトブロー,闘闘●,200,次の自分の番、このポケモンは「インパクトブロー」が使えない。
980,フシデ,MC,460/742,ポケモン/たね,n/a,n/a,n/a,80,悪,闘,n/a,3,どくえき,悪,n/a,相手のバトルポケモンを【どく】にする。
980,フシデ,MC,460/742,ポケモン/たね,n/a,n/a,n/a,80,悪,闘,n/a,3,かいてんアタック,悪●●,40,n/a
981,ホイーガ,MC,461/742,ポケモン/1進化,n/a,n/a,フシデ,100,悪,闘,n/a,3,ポイズンサークル,悪,n/a,相手のバトルポケモンを【どく】にする。次の相手の番、このワザを受けたポケモンは、にげられない。
981,ホイーガ,MC,461/742,ポケモン/1進化,n/a,n/a,フシデ,100,悪,闘,n/a,3,かいてんアタック,悪●●,60,n/a
982,ペンドラー,MC,462/742,ポケモン/2進化,n/a,n/a,ホイーガ,170,悪,闘,n/a,3,ひどうなひとさし,悪●,n/a,相手のバトルポケモンの残りHPが「10」になるように、ダメカンをのせる。
982,ペンドラー,MC,462/742,ポケモン/2進化,n/a,n/a,ホイーガ,170,悪,闘,n/a,3,ヘドロばくだん,悪●●,160,n/a
983,バルチャイ,MC,474/742,ポケモン/たね,n/a,n/a,n/a,70,悪,雷,闘,1,はばたく,●●,20,n/a
984,バルジーナex,MC,475/742,ポケモン/1進化,ex,n/a,バルチャイ,260,悪,雷,闘,1,ほねシュート,●●,n/a,相手のポケモン1匹に、50ダメージ。［ベンチは弱点・抵抗力を計算しない。］
984,バルジーナex,MC,475/742,ポケモン/1進化,ex,n/a,バルチャイ,260,悪,雷,闘,1,バルチャークロー,悪●●,160,相手の手札からオモテを見ないで1枚選び、トラッシュする。
985,フーパ,MC,482/742,ポケモン/たね,n/a,n/a,n/a,120,悪,草,n/a,2,くすねる,●,n/a,自分の山札を2枚引く。
985,フーパ,MC,482/742,ポケモン/たね,n/a,n/a,n/a,120,悪,草,n/a,2,ナックルインパクト,悪悪●,130,次の自分の番、このポケモンはワザが使えない。
986,アラブルタケ,MC,487/742,ポケモン/たね,n/a,古代,n/a,120,悪,草,n/a,3,どくをとばす,悪,n/a,相手のバトルポケモンを【どく】にする。
986,アラブルタケ,MC,487/742,ポケモン/たね,n/a,古代,n/a,120,悪,草,n/a,3,まくしなぐる,悪悪悪,50,相手のバトルポケモンにのっているダメカンの数×50ダメージ追加。
987,クチート,MC,495/742,ポケモン/たね,n/a,n/a,n/a,90,鋼,炎,草,1,なかまをよぶ,●,n/a,自分の山札から【たね】ポケモンを2枚まで選び、ベンチに出す。そして山札を切る。
987,クチート,MC,495/742,ポケモン/たね,n/a,n/a,n/a,90,鋼,炎,草,1,かみつく,鋼●●,90,n/a
988,レジスチルex,MC,499/742,ポケモン/たね,ex,n/a,n/a,230,鋼,炎,草,3,レジチャージ,●,n/a,自分のトラッシュから「基本【鋼】エネルギー」を2枚まで選び、このポケモンにつける。
988,レジスチルex,MC,499/742,ポケモン/たね,ex,n/a,n/a,230,鋼,炎,草,3,プロテクトスチール,鋼●●●,140,次の相手の番、このポケモンが受けるワザのダメージは「-50」される。
989,ドーミラー,MC,500/742,ポケモン/たね,n/a,n/a,n/a,60,鋼,炎,草,1,シールドアタック,鋼●,20,コインを1回投げオモテなら、20ダメージ追加。
990,トゲデマルex,MC,514/742,ポケモン/たね,ex,n/a,n/a,190,鋼,炎,草,1,しびればり,鋼,20,コインを1回投げオモテなら、相手のバトルポケモンを【マヒ】にする。
990,トゲデマルex,MC,514/742,ポケモン/たね,ex,n/a,n/a,190,鋼,炎,草,1,トゲトゲローリング,鋼●,80,前の自分の番に、このポケモンが「トゲトゲローリング」を使っていたなら、80ダメージ追加。
991,メルメタル,MC,518/742,ポケモン/1進化,n/a,n/a,メルタン,160,鋼,炎,草,4,ぶちかます,鋼鋼●,120,n/a
991,メルメタル,MC,518/742,ポケモン/1進化,n/a,n/a,メルタン,160,鋼,炎,草,4,アイアンバッシュ,鋼鋼鋼鋼●,230,n/a
992,ジュラルドン,MC,523/742,ポケモン/たね,n/a,n/a,n/a,130,鋼,炎,草,2,がちんこ,鋼鋼,50,n/a
992,ジュラルドン,MC,523/742,ポケモン/たね,n/a,n/a,n/a,130,鋼,炎,草,2,ジュラルビーム,鋼鋼鋼,130,このポケモンについているエネルギーを2個選び、トラッシュする。
993,ミミズズex,MC,533/742,ポケモン/たね,ex,n/a,n/a,220,鋼,炎,草,4,[特性]ボコスカがえし,n/a,n/a,このポケモンが、相手のポケモンからワザのダメージを受けたとき、このポケモンについている【鋼】エネルギーの数×2個ぶんのダメカンを、ワザを使ったポケモンにのせる。
993,ミミズズex,MC,533/742,ポケモン/たね,ex,n/a,n/a,220,鋼,炎,草,4,がんせきふうじ,●●●●,150,次の相手の番、このワザを受けたポケモンは、にげられない。
994,オノンド,MC,542/742,ポケモン/1進化,n/a,n/a,キバゴ,100,竜,n/a,n/a,2,[特性]きんちょうかん,n/a,n/a,このポケモンは、相手が手札からグッズまたはサポートを出して使ったとき、その効果を受けない。
994,オノンド,MC,542/742,ポケモン/1進化,n/a,n/a,キバゴ,100,竜,n/a,n/a,2,りゅうのはどう,闘鋼,80,自分の山札を上から1枚トラッシュする。
995,オノノクス,MC,543/742,ポケモン/2進化,n/a,n/a,オノンド,170,竜,n/a,n/a,2,アックスダウン,闘,n/a,相手のバトルポケモンに特殊エネルギーがついているなら、そのポケモンを【きぜつ】させる。
995,オノノクス,MC,543/742,ポケモン/2進化,n/a,n/a,オノンド,170,竜,n/a,n/a,2,りゅうのはどう,闘鋼,230,自分の山札を上から3枚トラッシュする。
996,アオキのノコッチ,MC,576/742,ポケモン/たね,n/a,トレーナーのポケモン（アオキ）,n/a,70,無,闘,n/a,n/a,つきあげる,●,10,コインを1回投げオモテなら、20ダメージ追加。
997,アオキのノココッチex,MC,577/742,ポケモン/1進化,ex,トレーナーのポケモン（アオキ）,アオキのノコッチ,270,無,闘,n/a,3,おしごとラッシュ,●●●,80×,このポケモンについているエネルギーの数ぶんコインを投げ、オモテの数×80ダメージ。
998,ナマケロ,MC,581/742,ポケモン/たね,n/a,n/a,n/a,60,無,闘,n/a,2,のんびりする,●,n/a,このポケモンのHPを「60」回復する。次の自分の番、このポケモンはにげられない。
999,ヤルキモノ,MC,582/742,ポケモン/1進化,n/a,n/a,ナマケロ,90,無,闘,n/a,2,スラッシュクロー,●●,50,n/a
1000,エネコ,MC,585/742,ポケモン/たね,n/a,n/a,n/a,60,無,闘,n/a,1,ねこキック,●,20,n/a
1001,エネコロロ,MC,586/742,ポケモン/1進化,n/a,n/a,エネコ,100,無,闘,n/a,1,ねこキック,●,40,n/a
1001,エネコロロ,MC,586/742,ポケモン/1進化,n/a,n/a,エネコ,100,無,闘,n/a,1,エナジークラッシュ,●●,40×,相手のポケモン全員についているエネルギーの数×40ダメージ。
1002,ザングースex,MC,588/742,ポケモン/たね,ex,n/a,n/a,200,無,闘,n/a,1,スパイクドロー,●,20,自分の山札を2枚引く。
1002,ザングースex,MC,588/742,ポケモン/たね,ex,n/a,n/a,200,無,闘,n/a,1,ワイルドシザー,●●●,180,このポケモンにも30ダメージ。
1003,アオキのムックル,MC,590/742,ポケモン/たね,n/a,トレーナーのポケモン（アオキ）,n/a,60,無,雷,闘,1,ちいさなおつかい,●,n/a,自分の山札から基本エネルギーを2枚まで選び、相手に見せて、手札に加える。そして山札を切る。
1003,アオキのムックル,MC,590/742,ポケモン/たね,n/a,トレーナーのポケモン（アオキ）,n/a,60,無,雷,闘,1,かっくう,●,10,n/a
1004,アオキのムクバード,MC,591/742,ポケモン/1進化,n/a,トレーナーのポケモン（アオキ）,アオキのムックル,90,無,雷,闘,1,はばたく,●,20,n/a
1004,アオキのムクバード,MC,591/742,ポケモン/1進化,n/a,トレーナーのポケモン（アオキ）,アオキのムックル,90,無,雷,闘,1,するどいはね,●●,50,n/a
1005,アオキのムクホーク,MC,592/742,ポケモン/2進化,n/a,トレーナーのポケモン（アオキ）,アオキのムクバード,150,無,雷,闘,1,からげんき,●,60,このポケモンが【どく】または【やけど】なら、100ダメージ追加。
1005,アオキのムクホーク,MC,592/742,ポケモン/2進化,n/a,トレーナーのポケモン（アオキ）,アオキのムクバード,150,無,雷,闘,1,フェザーストライク,●●●,150,このポケモンについているエネルギーを2個トラッシュし、相手のベンチポケモン1匹にも、50ダメージ。［ベンチは弱点・抵抗力を計算しない。］
1006,メガタブンネex,MC,602/742,ポケモン/たね,メガシンカex,n/a,n/a,270,無,闘,n/a,1,カレイドワルツ,●,n/a,コインを3回投げ、オモテの数×2枚ぶんまで、自分の山札から基本エネルギーを選び、自分のポケモンに好きなようにつける。そして山札を切る。
1006,メガタブンネex,MC,602/742,ポケモン/たね,メガシンカex,n/a,n/a,270,無,闘,n/a,1,イヤーフォース,●●●,20,相手のバトルポケモンについているエネルギーの数×80ダメージ追加。
1007,アオキのワシボン,MC,608/742,ポケモン/たね,n/a,トレーナーのポケモン（アオキ）,n/a,70,無,雷,闘,1,きずをつつく,●●,20,相手のバトルポケモンにダメカンがのっているなら、80ダメージ追加。
1008,アオキのウォーグル,MC,609/742,ポケモン/1進化,n/a,トレーナーのポケモン（アオキ）,アオキのワシボン,130,無,雷,闘,1,わしづかみ,●●,50,次の相手の番、このワザを受けたポケモンは、にげられない。
1008,アオキのウォーグル,MC,609/742,ポケモン/1進化,n/a,トレーナーのポケモン（アオキ）,アオキのワシボン,130,無,雷,闘,1,ブレイブバード,●●●,120,このポケモンにも30ダメージ。
1009,アオキのネッコアラ,MC,619/742,ポケモン/たね,n/a,トレーナーのポケモン（アオキ）,n/a,90,無,闘,n/a,2,[特性]むきりょくチャージ,n/a,n/a,このポケモンがベンチにいるなら、自分の番に1回使える。自分の手札からエネルギーを1枚選び、バトル場の「アオキのポケモン」につける。
1009,アオキのネッコアラ,MC,619/742,ポケモン/たね,n/a,トレーナーのポケモン（アオキ）,n/a,90,無,闘,n/a,2,いねむりドロー,●,n/a,このポケモンを【ねむり】にする。自分の山札を2枚引く。
1010,ジジーロン,MC,621/742,ポケモン/たね,n/a,n/a,n/a,130,無,闘,n/a,2,ひっぱたく,●●,50,n/a
1010,ジジーロン,MC,621/742,ポケモン/たね,n/a,n/a,n/a,130,無,闘,n/a,2,ドラゴンストライク,●●●,120,次の自分の番、このポケモンは「ドラゴンストライク」が使えない。
